name,monthEhb,ehb,ehp,lvl,sailing,CoX,CoX CM,ToB,ToB CM,Tombs,Tombs Expert,mode,Gryphon KC
spongbob2006,4.7321,1979.3314,762.1286147888289,2203,67,146,199,2396,680,224,180,Main,163
Medatama,1.5446,2159.3761,962.6596659676225,2278,39,989,187,1672,275,62,892,Main,0
Wool Tar,24.3188,1086.839,1272.8131671454419,2376,99,539,43,58,0,233,192,Main,0
Tar Tarr,0,2358.4531,1401.9132692961527,2368,99,699,229,1824,338,115,192,Main,559
Bagwa,0,812.8771,1495.51786357563,2278,93,294,28,203,2,121,201,Ironman,180
Brewmen,0,1220.3758,2130.145475552056,2368,91,637,101,679,123,45,322,Ironman,0
MistClick,0,1340.5726,1250.6218630011654,2376,99,833,373,916,87,89,144,Main,0
neat honkers,0,428.5131,486.3864387583855,2071,17,527,51,75,0,72,162,Main,0
painbtw,0,358.5216,1890.121122215448,2352,99,83,18,32,0,2,75,Ironman,0
TobSpoon69,14.1399,3394.2968,2538.2041906106615,2376,99,1448,712,2613,375,172,741,Ironman,270
Fe Spoof,36.8456,1578.0462,2324.995939178197,2376,99,630,155,625,0,67,983,Ironman,0
Gay Eminem,19.5979,227.5706,209.43667011844903,1896,1,177,3,34,1,1,117,Main,0
backshot ben,92.0218,765.9667,862.2305069420252,2051,1,59,29,850,12,32,129,Ironman,0
Sniken,0,2071.0677,2364.364002690309,2376,99,813,280,885,268,109,784,Ironman,145
Dale G,0,1409.4555,1147.920057933686,2374,97,1141,270,1055,73,130,146,Main,101
Glumanda25,21.6301,628.563,1184.7738073919772,2376,99,524,351,14,0,46,9,Main,2
LogitechG502,0.2934,92.5026,402.38222924749795,1891,42,27,4,25,1,7,6,Ironman,0
jonwillbert,4.1743,2523.115,1553.7125481593218,2376,99,1410,345,764,57,73,743,Main,182
Braumsy,92.9579,951.3073,1011.8513647331431,2359,99,163,387,127,47,176,136,Main,1130
A U G,22.4512,1944.783,1625.8671338796291,2376,99,165,232,473,31,56,87,Main,747
B00TYKING,0,1359.7507,701.7419585164887,2185,17,717,322,1754,178,32,219,Main,0
Uncle Fabler,0,948.7743,1396.662793636716,2376,99,146,213,612,132,23,171,Main,0
annni,70.0361,1202.8673,1542.1172837501483,2376,99,612,365,30,0,68,96,Main,429
Brita Filter,0.3125,1185.8593,1216.2247121005478,2376,99,1499,45,283,9,125,124,Main,0
Rory_sk,9.1988,1706.3336,2261.0808253872883,2376,99,1268,23,389,30,128,429,Ironman,1354
liskovelho,92.9207,1819.5623,1293.5338170004989,2376,99,1498,183,923,154,350,291,Main,208
Badpvmr,1.2727,2990.2429,1309.7751582366134,2376,99,1309,272,2349,167,162,926,Main,0
rykysy,0,318.7716,985.7702745526357,2155,60,151,70,75,4,14,12,Ironman,0
AKllRA,86.2615,1576.8423,1418.8299832823232,2376,99,368,86,154,11,76,257,Main,657
Jinshi,26.9834,1570.0758,2089.7539301796487,2376,99,484,360,700,432,10,358,Ironman,50
ZenRaidz,8.1543,2063.9947,1485.8255316731315,2376,99,911,608,975,176,285,854,Main,760
Succ_Peen,0,703.855,950.5607163019209,2335,89,325,58,114,0,114,313,Main,332
ggservers,0,270.9898,720.6011068059429,2090,48,112,6,93,13,22,37,Ironman,193
Widega,3.3857,2703.0257,1328.0814275372434,2376,99,818,293,1818,601,116,613,Main,189
Paulest Paul,36.0027,3644.9186,4048.739484657041,2376,99,1155,774,901,341,153,736,Ironman,496
saas27,0,1670.1014,1983.0507566789454,2343,90,830,417,730,295,149,505,Ironman,0
Maitoholisti,0,1341.3615,3181.5824706235785,2339,62,586,162,374,6,60,235,Ironman,50
Deemon,0,2702.0944,1330.1161293559906,2376,99,2523,265,166,0,132,357,Main,330
bratty sub,0.9487,155.9409,719.4343538992666,2275,90,75,2,23,2,14,7,Main,195
LuckySeal IM,0,391.4309,1165.8119804428734,2232,86,138,0,98,0,153,209,Ironman,0
Dayul,0,1562.869,1008.0574040971849,2291,51,538,103,1218,219,135,406,Main,73
VexxeD Out,16.025,1252.1508,1166.8271821715693,2376,99,32,0,8,0,91,295,Main,0
bob shlong,1.4286,442.3923,1292.7807208889367,2252,99,227,12,79,5,7,12,Ironman,127
SendTiddies,0,31.7368,379.18701346590086,2075,55,5,0,0,0,20,0,Main,183
segsmachine,69.1587,1416.6231,1293.751802564418,2201,70,269,712,472,205,82,402,Main,540
Chriskies,0,531.5842,346.36909263139427,1947,48,155,46,540,117,69,289,Main,50
Garfh,29.2894,770.4328,1745.1176380710215,2326,89,337,28,122,6,77,294,Ironman,0
doorstealer,12.9072,271.5869,554.8363398670045,1993,44,1,0,0,0,46,116,Ironman,0
Caywu,8.6221,1562.405,920.173728308145,2301,90,182,80,1705,391,91,663,Main,50
DragonBall Z,14.3388,1907.6401,1328.6715013646947,2376,99,698,1682,431,363,51,324,Main,348
Art Paendrag,19.6292,676.2369,1644.0727053553321,2301,74,282,19,10,0,40,163,Ironman,194
MrRailology,41.1594,929.409,567.2411522870904,2203,77,370,17,166,0,64,363,Main,150
Fletched0,2.758,1825.2952,1252.5020662735906,2376,99,1144,551,1009,171,108,191,Main,0
FULLCLRTITAN,0,2378.5897,1428.3450016801378,2376,99,1320,335,1447,442,164,332,Main,0
exoristic,17.0435,5022.4091,4610.295574752537,2376,99,595,2000,1610,453,264,1736,Ironman,471
Aslak Torva,84.122,1385.6767,2334.5729013632435,2376,99,342,224,844,105,6,300,Ironman,60
Kadett Opel,0,2062.2957,2111.1745956387344,2376,99,1760,174,899,424,16,481,Ironman,187
pp sneeze,31.8493,572.7889,1152.4429100985844,2203,70,131,0,73,0,4,165,Ironman,27
Measley,27.6116,4424.7556,1474.0548184547051,2376,99,1858,2146,4396,444,176,720,Main,0
Greken,19.2291,1888.7654,799.1012366776188,2304,99,239,231,990,817,36,435,Main,653
hhhhhhfgkmfh,5.2375,310.636,877.4448949541074,2132,53,23,20,76,10,2,120,Ironman,3
stop yappin,2.2917,1404.3368,1985.9651152465347,2340,90,1134,281,330,275,7,299,Ironman,0
Satamario,17.0361,461.9358,700.869241773447,2269,84,126,25,87,28,5,50,Main,665
GM Shayzz,13.3016,230.434,572.9614156896369,1931,48,127,3,175,0,1,22,Main,50
Flan,6.3675,3007.0327,2644.4446906142325,2376,99,1655,650,1031,452,263,705,Ironman,50
MAKETHEMSTOP,0,544.9652,1135.6619410250332,2174,42,215,8,360,11,62,55,Ironman,0
Haliene,73.8016,1035.9631,1547.2196078590234,2270,68,747,100,862,5,7,402,Ironman,0
Lifetight,0,861.9611,2023.085420628307,2354,77,1314,2,3,0,80,2,Ironman,0
Zivarian,0,1693.4345,2370.3250671700634,2376,99,742,220,730,24,117,513,Ironman,597
